No;Merek;Model;Tipe;Adjusted Volume (liter)*;Daya (watt);Rating Bintang (1-5);"Konsumsi Energi Tahunan &lt;br&gt;(kWh)*";Biaya Listrik Tahunan (Rp)
299;SHARP;"SJ-N163; SJ-X166; SJ-X168";Satu Pintu;135,86;38,63;1;345;498421,5
300;SHARP;"SJ-X186; SJ-N183; SJ-X188";Satu Pintu;174,21;32,27;2;285,86;412981,94
301;SHARP;"SJ-X198; SJ-N193; SJ-X196";Satu Pintu;192,21;32,44;2;297,36;429595,99
302;SHARP;FJ-M298;Satu Pintu;326,42;54,22;1;491,5;710070,05
303;SHARP;FJ-M286;Satu Pintu;204,42;49,86;1;424,54;613332,94
304;SHARP;"SJ-X198W; SJ-X196W";Satu Pintu;198,21;32,44;3;242,42;350224,17
305;SHARP;"SJ-316; SJ-317; SJ-326";Dua Pintu;294,86;48,74;1;508,96;735294,51
306;SHARP;"SJ-236; SJ-237; SJ-246";Dua Pintu;243,86;45,33;1;433,27;625945,17
307;SHARP;"SJ-246XI; SJ-246SI; SJ-246GI";Dua Pintu;243,86;32,79;2;344,55;497771,39
308;SHARP;"SJ-326XI; SJ-326SI; SJ-326GI";Dua Pintu;294,86;39;1;402,58;581607,33
309;SAMSUNG;RT25FARBDB1;Dua Pintu;297,64;100;2;302,27;436689,47
310;SAMSUNG;RT22FARBDB1;Dua Pintu;277,64;100;2;317,85;459197,9
311;AQUA;AQR-DTM267CB;Dua Pintu;248,21;49,94;1;476,89;688962,98
312;AQUA;AQR-DTM287CB;Dua Pintu;268,21;49,96;1;496,96;717958,11
313;POLYTRON;ER065117706027;Satu Pintu;177;31,88;2;285,32;412201,8
314;POLYTRON;ER065116006022;Satu Pintu;160;32,18;2;290,11;419121,92
315;POLYTRON;ER192117706027;Satu Pintu;177;34,43;2;316,54;457305,34
316;POLYTRON;ER192116006022;Satu Pintu;160;31,47;2;270,18;390329,05
317;POLYTRON;ER193017706075;Satu Pintu;177;32,98;2;303,76;438842,07
318;POLYTRON;ER193016006070;Satu Pintu;160;27,66;2;259,67;375145,25
319;POLYTRON;ER890115306022;Satu Pintu;153;30,54;2;271,7;392524,99
320;POLYTRON;ER890113706020;Satu Pintu;137;28,11;2;267,2;386023,84
321;POLYTRON;ER066118612040;Dua Pintu;186;45;1;439,04;634281,09
322;POLYTRON;ER082104804014;Satu Pintu;48;19,79;3;174,29;251796,76
323;SHARP;"SJ-195; SJ-196; SJ-197";Dua Pintu;198,86;45,3;1;434,62;627895,51
324;TIXX;BCD34;Dua Pintu;43,43;65;2;228,86;330634,04
325;TIXX;BCD69;Dua Pintu;91;65;2;257,69;372284,74
326;TIXX;BCD110F;Dua Pintu;139,86;86;2;290,18;419223,05
327;TIXX;BCD129;Dua Pintu;164,29;70,5;2;305,51;441370,3
328;AQUA;AQR-DSD188;Satu Pintu;153,21;35,51;1;340,09;491328,02
329;AQUA;AQR-DSD208;Satu Pintu;173,21;35;1;327,54;470972,2
330;AQUA;AQR-DSD228;Satu Pintu;190,71;46,66;1;410,49;593034,9
