No;Merek;Model;Tipe;Adjusted Volume (liter)*;Daya (watt);Rating Bintang (1-5);"Konsumsi Energi Tahunan &lt;br&gt;(kWh)*";Biaya Listrik Tahunan (Rp)
187;HISENSE;RT208N4ISN RT218N4IBN RT209N4ISN RT219N4IBN;Dua Pintu;197,07;176;1;381,89;551716,48
188;HISENSE;RT318N4IGN RT328N4IBN RT319N4IGN RT329N4IBN;Dua Pintu;291,86;132;1;412,72;596256,58
189;HISENSE;RT318N4IGNI RT328N4IBNI RT319N4IGNI RT329N4IBNI;Dua Pintu;291,86;286;2;362,07;523082,53
190;BEKO;RDNO201I50VBS;Dua Pintu;219,5;28,89;2;271,54;392293,84
191;BEKO;RDNO201I50S;Dua Pintu;219,5;35,5;2;337,94;488221,92
192;SANKEN;"SK-V165P; SK-V167P; SK-V168P; SK-V161P; SK-V163P; SK-G169P";Satu Pintu;162,86;33,84;1;312,74;451815,48
193;SANKEN;"SK-V175P; SK-V177P; SK-V178P; SK-V171P; SK-V173P; SK-G179P";Satu Pintu;172,86;43,77;1;350,7;506656,29
194;GEA;GMB-50;Satu Pintu;46;21,43;2;177,16;0
195;GEA;GMB-91;Satu Pintu;89;24,38;2;205,06;296250,18
196;AQUA;AQR-382IM;Dua Pintu;358,5;41,2;3;309,98;447828,11
197;BOSCH;KIN86AF307;Dua Pintu;306,64;36,24;2;353,33;510448,63
198;GAGGENAU;RB282304ID;Dua Pintu;318,9;36,32;2;363,97;525833,24
199;POLYTRON;ER42119912;Dua Pintu;225,22;0;1;447,77;646893,32
200;POLYTRON;ER45118206;Satu Pintu;207,83;0;3;198,27;286440,67
201;POLYTRON;ER45116806;Satu Pintu;180,55;0;3;179,49;259309,2
202;POLYTRON;ER110118206;Satu Pintu;207,83;0;3;204,19;0
203;POLYTRON;ER110116806;Satu Pintu;180,55;0;3;181,8;0
204;POLYTRON;ER46123012;Dua Pintu;251,78;0;1;450,82;0
205;POLYTRON;ER44123012;Dua Pintu;269,78;0;1;468,68;0
206;POLYTRON;ER82105704;Satu Pintu;47,4;0;2;181,83;0
207;POLYTRON;ER19116806;Satu Pintu;180,55;0;3;228,14;0
208;POLYTRON;ER19118206;Satu Pintu;207,83;0;2;289,49;0
209;POLYTRON;ER81014306;Satu Pintu;157,75;0;2;253,9;0
210;POLYTRON;ER64015906;Satu Pintu;172,44;0;2;290,63;0
211;POLYTRON;ER81015906;Satu Pintu;172,44;0;2;277,66;0
212;POLYTRON;ER16016806;Satu Pintu;180,55;0;2;265,93;0
213;POLYTRON;ER40015906;Satu Pintu;172,44;0;2;261,74;0
214;MIDEA;"MDRD229FGD30-ID; MDRD229FGD50-ID; MDRD229FGD56-ID; MDRD229FGD58-ID";Satu Pintu;171,14;50,93;1;403,41;582806,43
215;MIDEA;"MDRT267MTB56-ID; MDRT267MTB30-ID; MDRT267MTB50-ID; MDRT267MTB58-ID";Dua Pintu;226,14;40,54;1;419,69;606326,14
216;MIDEA;"MDRT306MTB56-ID; MDRT306MTB30-ID; MDRT306MTB50-ID; MDRT306MTB58-ID";Dua Pintu;250,14;36,49;1;365,31;527760,47
217;MIDEA;"MDRD268FGD30-ID; MDRD268FGD56-ID; MDRD268FGD50-ID; MDRD268FGD58-ID";Satu Pintu;196,07;41,47;1;371,73;537038,33
218;MIDEA;"MDRT345MTB56-ID; MDRT345MTB30-ID; MDRT345MTB50-ID; MDRT345MTB58-ID";Dua Pintu;283,14;42,11;1;406,37;587082,74
219;TCL;F95-A50, F135TM;Dua Pintu;139;0;2;279,12;403244,66
220;TCL;F235-A50;Dua Pintu;235,07;0;2;333,01;0
221;TCL;P220TM , P285TM;Dua Pintu;287,87;0;2;364,55;0
222;TCL;F160-A50;Satu Pintu;235,69;0;2;235,69;0
223;TCL;F50-A50;Satu Pintu;46;0;2;178,89;0
224;GEA;G2HD-217;Dua Pintu;237,86;44,84;1;429,14;619978,56
225;LG;"GN-Y331SLSR; GN-Y331SQSR; GN-Y331SHSR; GN-Y331SCUR";Satu Pintu;204,29;32,68;2;302,84;437512,95
226;SANKEN;"SK-V235P; SK-V230P; SK-V231P; SK-V233P; SK-V237P; SK-V238P; SK-G232P; SK-G236P; SK-G239P";Dua Pintu;261,43;43,87;1;450,73;651169,63
227;MODENA;"RF 2250 TGDS; RF 2250 TGSR; RF 2250 TGBK; RF 2251 TGSR; RF 2251 TGBK; RF 2251 TGDS; RF 2252 TGSR; RF 2252 TGBK; RF 2252 TGDS; RF 2250 MAVA; RF 2250 MAVB; RF 2250 MCAA; RF 2250 MCAB";Dua Pintu;243,43;32,3;2;330,97;478152,36
228;MODENA;"RF 2650 TGDS; RF 2650 TGSR; RF 2650 TGBK; RF 2651 TGSR; RF 2651 TGBK; RF 2651 TGDS; RF 2652 TGSR; RF 2652 TGBK; RF 2652 TGDS; RF 2650 MAVA; RF 2650 MAVB; RF 2650 MCAA; RF 2650 MCAB";Dua Pintu;293,43;40,98;2;376,73;544261,83
229;SANKEN;"SK-G250V; SK-G250PV";Dua Pintu;249,64;30,18;2;319,56;461674,11
230;SANKEN;"SK-G280V; SK-G280PV";Dua Pintu;283,57;40,01;2;368,05;531726,17
231;LG;"GN-Y201CLDR; GN-Y201CQDR; GN-Y201CHDR; GN-Y201CCDR";Satu Pintu;173,29;30,71;2;261,48;377760,16
232;LG;"GN-Y201CLSR; GN-Y201SLSR; GN-Y201CQSR; GN-Y201SQSR; GN-Y201CHSR; GN-Y201SHSR; GN-Y201CCUR; GN-Y201SCUR";Satu Pintu;173,29;27,52;2;258,88;374003,94
233;AQUA;"AQR-D185; AQR-D188";Satu Pintu;153,21;40,65;1;376,25;543568,38
234;AQUA;AQR-D205;Satu Pintu;173,21;42,62;1;416,78;602122,07
235;GEA;G2HD-198;Dua Pintu;239,64;94,3;1;445,73;643946,13
236;GEA;G2HD-267;Dua Pintu;312,57;88,4;1;498,47;720139,61
237;AQUA;AQR-D261;Dua Pintu;260,14;52,8;1;491,08;709463,28
238;SANKEN;"SK-V188P; SK-G189P";Satu Pintu;187,14;35,97;1;333,11;481244,02
239;SANKEN;"SK-V198P; SK-G199P";Satu Pintu;197,14;35,68;2;318,96;460801,51
240;AQUA;AQR-DTM265CB;Dua Pintu;248,21;99,3;1;452,64;653929,01
