No;Merek;Famili;Tipe;Daya (watt);Kapasitas Pendinginan (BTU/h);Nilai Efisiensi (EER/CSPF);Rating Bintang (1-5);Konsumsi Energi Tahunan (kWh);Biaya Listrik Tahunan (Rp);Baseline;;;;
346;Daikin;Indoor FTXZ35NVM4 / Outdoor RXZ35NVM4;Inverter;680;11771;19.4;4;1985.6; Rp2,867,206.40 ;EER;;;;
347;Daikin;Indoor FTXZ50VM4 / Outdoor RXZ50NVM4;Inverter;1150;16889;17.44;4;3358; Rp4,848,952.00 ;EER;;;;
348;Daikin;Europe 1;Inverter;520;8530;17.22;4;1518.4; Rp2,192,569.60 ;EER;;;;
349;Daikin;Europe 2;Inverter;855;11942;16.38;4;2496.6; Rp3,605,090.40 ;EER;;;;
350;Daikin;Europe 3;Inverter;1450;17742;14.94;4;4234; Rp6,113,896.00 ;EER;;;;
351;Daikin;Non-Inverter R410A 1;Non-Inverter;390;4982;11.72;4;1138.8; Rp1,644,427.20 ;EER;;;;
352;Daikin;Non-Inverter R410A 2;Non-Inverter;633;7131;11.52;4;1848.36; Rp2,669,031.84 ;EER;;;;
353;Daikin;Non-Inverter R410A 3;Non-Inverter;819;8939;10.51;4;2391.48; Rp3,453,297.12 ;EER;;;;
354;Daikin;Non-Inverter R410A 4;Non-Inverter;1063;11430;10.15;3;3103.96; Rp4,482,118.24 ;EER;;;;
355;Daikin;Non-Inverter R410A 5;Non-Inverter;1650;17742;10.16;3;4818; Rp6,957,192.00 ;EER;;;;
356;Daikin;Non-Inverter R410A 6;Non-Inverter;2032;21837;10.78;4;5933.44; Rp8,567,887.36 ;EER;;;;
357;Daikin;Deluxe Non-Inverter R32 1;Non-Inverter;722;8871;11.65;4;2108.24; Rp3,044,298.56 ;EER;;;;
358;Daikin;Deluxe Non-Inverter R32 2;Non-Inverter;1042;12624;11.63;4;3042.64; Rp4,393,572.16 ;EER;;;;
359;Daikin;Deluxe Non-Inverter R32 3;Non-Inverter;1493;18084;12.19;4;4359.56; Rp6,295,204.64 ;EER;;;;
360;Daikin;Deluxe Non-Inverter R32 4;Non-Inverter;1859;22519;11.9;4;5428.28; Rp7,838,436.32 ;EER;;;;
361;Daikin;Deluxe Non-Inverter R32 5;Non-Inverter;2182;24566;12.2;4;6371.44; Rp9,200,359.36 ;EER;;;;
362;Daikin;Inverter R32 Smile 1 ;Inverter;680;8530;15.52;4;1985.6; Rp2,867,206.40 ;EER;;;;
363;Daikin;Inverter R32 Smile 2;Inverter;960;11942;15.43;4;2803.2; Rp4,047,820.80 ;EER;;;;
364;Daikin;Inverter R32 Smile 3;Inverter;1365;17742;16.66;4;3985.8; Rp5,755,495.20 ;EER;;;;
365;Daikin;Inverter R32 Smile 4;Inverter;1740;20472;15.35;4;5080.8; Rp7,336,675.20 ;EER;;;;
366;Daikin;Inverter R32 Smile 5;Inverter;2365;24225;14.62;4;6905.8; Rp9,971,975.20 ;EER;;;;
367;Daikin;Inverter R32 Smile 6;Inverter;1445;17742;16.89;4;4219.4; Rp6,092,813.60 ;EER;;;;
368;Daikin;Inverter R32 Smile 7;Inverter;1740;20472;16.24;4;5080.8; Rp7,336,675.20 ;EER;;;;
369;Daikin;Inverter R32 Smile 8;Inverter;337;5118;15.2;4;984.04; Rp1,420,953.76 ;EER;;;;
370;Daikin;Inverter R32 Smile 9;Inverter;500;6824;14.73;4;1460; Rp2,108,240.00 ;EER;;;;
371;Daikin;Inverter R32 Smile 10;Inverter;700;8530;14.13;4;2044; Rp2,951,536.00 ;EER;;;;
372;Daikin;Inverter R32 Smile 11;Inverter;990;11942;14.24;4;2890.8; Rp4,174,315.20 ;EER;;;;
373;Daikin;Inverter High R32 1;Inverter;540;8530;17.74;4;1576.8; Rp2,276,899.20 ;EER;;;;
374;Daikin;Inverter High R32 2;Inverter;910;11942;15.37;4;2657.2; Rp3,836,996.80 ;EER;;;;
375;Daikin;Inverter High R32 3;Inverter;1300;17742;16.72;4;3796; Rp5,481,424.00 ;EER;;;;
376;Daikin;Inverter High R32 4;Inverter;1580;20472;16.29;4;4613.6; Rp6,662,038.40 ;EER;;;;
377;Daikin;Inverter High R32 5;Inverter;2000;24225;14.73;4;5840; Rp8,432,960.00 ;EER;;;;
378;Daikin;"FTV15AXV14 /RV15AXV14;FTV15BXV14 /RV15BXV14";Non-Inverter;393.67;5982.09;15.2;4;1149.5164; Rp1,659,901.68 ;EER;;;;
379;Daikin;"FTV20AXV14 /RV20AXV14;FTV20BXV14 /RV20BXV14";Non-Inverter;627.1;6803.53;10.85;4;1831.132; Rp2,644,154.61 ;EER;;;;
380;Daikin;"FTV25AXV14 /RV25AXV14;FTV25BXV14 /RV25BXV14";Non-Inverter;784.3;8473.36;10.8;4;2290.156; Rp3,306,985.26 ;EER;;;;
381;Daikin;"FTV35AXV14 /RV35AXV14;FTV35BXV14 /RV35BXV14";Non-Inverter;1153.6;11604.21;10.06;3;3368.512; Rp4,864,131.33 ;EER;;;;
382;Daikin;"FTV50AXV14 /RV50AXV14;FTV50BXV14 /RV50BXV14";Non-Inverter;1813.7;17726.36;9.77;2;5296.004; Rp7,647,429.78 ;EER;;;;
383;Daikin;FTNE15JEV14 /RNE15JEV14;Non-Inverter;323.5;4398.41;13.6;4;944.62; Rp1,364,031.28 ;EER;;;;
384;Daikin;FTNE20JEV14 /RNE20JEV14;Non-Inverter;537.9;6114.65;11.37;4;1570.668; Rp2,268,044.59 ;EER;;;;
385;Daikin;FTNE25JEV14 /RNE25JEV14;Non-Inverter;699.8;8018.89;11.46;4;2043.416; Rp2,950,692.70 ;EER;;;;
386;Daikin;FTNE35JEV14 /RNE35JEV14;Non-Inverter;989.5;11211.83;11.33;4;2889.34; Rp4,172,206.96 ;EER;;;;
387;Daikin;FTNE50JEV14 /RNE50JEV14;Non-Inverter;1611;16388.52;9.87;2;4704.12; Rp6,792,749.28 ;EER;;;;
388;Daikin;FTNE60JEV14 /RNE60JEV15;Non-Inverter;1927.6;20477.12;10.38;3;5628.592; Rp8,127,686.85 ;EER;;;;
389;Daikin;"FTV60AXV14/ RV60AXV14;FTV60BXV14/ RV60BXV14";Non-Inverter;2012.6;20908.74;10.39;3;5876.792; Rp8,486,087.65 ;EER;;;;
390;Daikin;FTKQ15SVM4 / RKQ15SVM4;Inverter;288.4;5260.96;18.76;4;842.128; Rp1,216,032.83 ;EER;;;;
391;Daikin;FTKQ20SVM4 / RKQ20SVM4;Inverter;470.4;7114.7;16.48;4;1373.568; Rp1,983,432.19 ;EER;;;;
392;Daikin;FTKQ25SVM4 / RKQ25SVM4;Inverter;796.9;9092.3;15.24;4;2326.948; Rp3,360,112.91 ;EER;;;;
393;Daikin;FTKQ35SVM4 / RKQ35SVM4;Inverter;1065;12176.75;15.89;4;3109.8; Rp4,490,551.20 ;EER;;;;
394;Daikin;FTKQ50SVM4 / RKQ50SVM4;Inverter;1726.3;17715.79;14.18;4;5040.796; Rp7,278,909.42 ;EER;;;;
395;Daikin;FTKQ60SVM4 / RKQ60SVM4;Inverter;2181.2;20384.99;14.03;4;6369.104; Rp9,196,986.18 ;EER;;;;
396;Daikin;FTC15NV14/RC15NV14;Non-Inverter;373.1;4848.11;12.99;4;1089.452; Rp1,573,168.69 ;EER;;;;
397;Daikin;FTC20NV14/RC20NV14;Non-Inverter;619.6;6837.65;11.04;4;1809.232; Rp2,612,531.01 ;EER;;;;
398;Daikin;FTC25NV14/RC25NV14;Non-Inverter;802.6;9334.55;11.63;4;2343.592; Rp3,384,146.85 ;EER;;;;
399;Daikin;FTC35NV14/RC35NV14;Non-Inverter;902.8;10958.32;12.14;4;2636.176; Rp3,806,638.14 ;EER;;;;
400;Daikin;FTC50NV14/RC50NV14;Non-Inverter;1501.5;16607.57;11.06;4;4384.38; Rp6,331,044.72 ;EER;;;;
401;Daikin;FTC60NV14/RC60NV14;Non-Inverter;1874.4;21539.27;11.49;4;5473.248; Rp7,903,370.11 ;EER;;;;
402;Daikin;FTKM25SVM4 / RKM25SVM4;Inverter;505.4;8976.63;20.31;4;1475.768; Rp2,131,008.99 ;EER;;;;
403;Daikin;FTKM35SVM4 / RKM35SVM4;Inverter;853.6;12219.74;18.63;4;2492.512; Rp3,599,187.33 ;EER;;;;
404;Daikin;FTKM50SVM4 / RKM50SVM4;Inverter;1209.5;17769.01;18.65;4;3531.74; Rp5,099,832.56 ;EER;;;;
405;Daikin;FTKM60SVM4 / RKM60SVM4;Inverter;1487;20034.92;17.2;4;4342.04; Rp6,269,905.76 ;EER;;;;
406;Daikin;FTKM71SVM4 / RKM71SVM4;Inverter;1988.3;23787.78;16.21;4;5805.836; Rp8,383,627.18 ;EER;;;;
407;Daikin;FTV15BXV149/RV15BXV149;Non-Inverter;395.8;4348.25;10.99;4;1155.736; Rp1,668,882.78 ;EER;;;;
408;Daikin;FTV25BXV149/RV25BXV149;Non-Inverter;785.8;8709.47;11.08;4;2294.536; Rp3,313,309.98 ;EER;;;;
409;Daikin;FTV35BXV149/RV35BXV149;Non-Inverter;1176.6;11878.19;10.63;4;3435.672; Rp4,961,110.37 ;EER;;;;
410;Daikin;Inverter R32 Smile 12 (FTKC15TVM4, RKC15TVM4);Inverter;295.4;5112.54;17.7;4;862.568; Rp1,245,548.19 ;EER;;;;
411;Daikin;Inverter R32 Smile 13 (FTKC20TVM4, RKC20TVM4);Inverter;494.9;7050.56;15.9;4;1445.108; Rp2,086,735.95 ;EER;;;;
412;Daikin;Inverter R32 Smile 14 (FTKC25TVM4, RKC25TVM4);Inverter;679.5;8987.89;16.84;4;1984.14; Rp2,865,098.16 ;EER;;;;
413;Daikin;Inverter R32 Smile 15 (FTKC35TVM4, RKC35TVM4);Inverter;985.3;12095.2;16.19;4;2877.076; Rp4,154,497.74 ;EER;;;;
414;Daikin;Inverter R32 Smile 16 (FTKC50TVM4, RKC50TVM4);Inverter;1321;17914.71;17.1;4;3857.32; Rp5,569,970.08 ;EER;;;;
415;Daikin;Inverter R32 Smile 17 (FTKC60TVM4, RKC60TVM4);Inverter;1706.4;20426.62;15.83;4;4982.688; Rp7,195,001.47 ;EER;;;;
416;Daikin;Inverter R32 Smile 18 (FTKC71TVM4, RKC71TVM4);Inverter;2035.1;23761.17;15.51;4;5942.492; Rp8,580,958.45 ;EER;;;;
417;Daikin;"DAMA Non-Inverter R32 C Series 1(FTV15CXV14;RV15CXV14)";Non-Inverter;395.8;4348.25;10.99;4;1155.736; Rp1,668,882.78 ;EER;;;;
418;Daikin;"DAMA Non-Inverter R32 C Series 2(FTV20CXV14;RV20CXV14)";Non-Inverter;627.1;6803.53;10.85;4;1831.132; Rp2,644,154.61 ;EER;;;;
419;Daikin;"DAMA Non-Inverter R32 C Series 3(FTV25CXV14;RV25CXV14)";Non-Inverter;785.8;8709.47;11.08;4;2294.536; Rp3,313,309.98 ;EER;;;;
420;Daikin;"DAMA Non-Inverter R32 C Series 4(FTV35CXV14;RV35CXV14)";Non-Inverter;1117.6;11878.2;10.63;4;3263.392; Rp4,712,338.05 ;EER;;;;
421;Daikin;"DAMA Non-Inverter R32 C Series 5(FTV50CXV14;RV25CXV14)";Non-Inverter;1632.06;18015.36;10.69;4;4765.6152; Rp6,881,548.35 ;EER;;;;
422;Daikin;"DAMA Non-Inverter R32 C Series 6(FTV60CXV14;RV60CXV14)";Non-Inverter;2167.3;23475.57;10.83;4;6328.516; Rp9,138,377.10 ;EER;;;;
423;Daikin;"DAMA Entry Non-Inverter R32 Series 1(FTP15AV14;RP15AV14)";Non-Inverter;395.26;1416.96;12.23;4;1154.1592; Rp1,666,605.88 ;EER;;;;
424;Daikin;"DAMA Entry Non-Inverter R32 Series 2(FTP25AV14;RP25AV14)";Non-Inverter;777.74;8377.54;10.77;4;2271.0008; Rp3,279,325.16 ;EER;;;;
425;Daikin;Flash Entry Inverter R32 Series 1 (FTKQ15UVM4 / RKQ15UVM4);Inverter;323.2;5118;18.07;4;943.744; Rp1,362,766.34 ;EER;;;;
426;Daikin;Flash Entry Inverter R32 Series 2 (FTKQ20UVM4 / RKQ20UVM4);Inverter;577.2;6992.55;16.14;4;1685.424; Rp2,433,752.26 ;EER;;;;
427;Daikin;Flash Entry Inverter R32 Series 3 (FTKQ25UVM4 / RKQ25UVM4);Inverter;825.9;9084.45;14.95;4;2411.628; Rp3,482,390.83 ;EER;;;;
428;Daikin;Flash Entry Inverter R32 Series 4 (FTKQ35UVM4 / RKQ35UVM4);Inverter;1227.4;12211.21;15.3;4;3584.008; Rp5,175,307.55 ;EER;;;;
429;Daikin;Flash Entry Inverter R32 Series 5 (FTKQ50UVM4 / RKQ50UVM4);Inverter;1598.7;17354.11;14.06;4;4668.204; Rp6,740,886.58 ;EER;;;;
430;Daikin;Flash Entry Inverter R32 Series 6 (FTKQ60UVM4 / RKQ60UVM4);Inverter;2046.4;20225.65;13.72;4;5975.488; Rp8,628,604.67 ;EER;;;;
431;Daikin;Flash Inverter R32 Series 1;Inverter;288.4;5260.96;18.76;4;842.128; Rp1,216,032.83 ;EER;;;;
432;Daikin;Flash Inverter R32 Series 2;Inverter;470.4;7114.7;16.48;4;1373.568; Rp1,983,432.19 ;EER;;;;
433;Daikin;Flash Inverter R32 Series 3;Inverter;796.9;9092.3;15.24;4;2326.948; Rp3,360,112.91 ;EER;;;;
434;Daikin;Flash Inverter R32 Series 4;Inverter;1065;12176.75;15.89;4;3109.8; Rp4,490,551.20 ;EER;;;;
435;Daikin;Flash Inverter R32 Series 5;Inverter;1726.3;17715.79;14.18;4;5040.796; Rp7,278,909.42 ;EER;;;;
436;Daikin;Flash Inverter R32 Series 6;Inverter;2181.2;20384.99;14.03;4;6369.104; Rp9,196,986.18 ;EER;;;;
437;Daikin;SMS Non-Inverter R32 Series 1;Non-Inverter;373.1;4848.11;12.99;4;1089.452; Rp1,573,168.69 ;EER;;;;
438;Daikin;SMS Non-Inverter R32 Series 2;Non-Inverter;619.6;6837.65;11.04;4;1809.232; Rp2,612,531.01 ;EER;;;;
439;Daikin;SMS Non-Inverter R32 Series 3;Non-Inverter;802.6;9334.55;11.63;4;2343.592; Rp3,384,146.85 ;EER;;;;
440;Daikin;SMS Non-Inverter R32 Series 4;Non-Inverter;902.8;10958.32;12.14;4;2636.176; Rp3,806,638.14 ;EER;;;;
441;Daikin;SMS Non-Inverter R32 Series 5;Non-Inverter;1501.5;16607.57;11.06;4;4384.38; Rp6,331,044.72 ;EER;;;;
442;Daikin;SMS Non-Inverter R32 Series 6;Non-Inverter;1874.4;21539.27;11.49;4;5473.248; Rp7,903,370.11 ;EER;;;;
443;Daikin;Hi-Inverter  (Premium) R32 Series 1;Inverter;505.4;8976.63;20.31;4;1475.768; Rp2,131,008.99 ;EER;;;;
444;Daikin;Hi-Inverter  (Premium) R32 Series 2;Inverter;853.6;12219.74;18.65;4;2492.512; Rp3,599,187.33 ;EER;;;;
445;Daikin;Hi-Inverter  (Premium) R32 Series 3;Inverter;1209.5;17769.01;18.65;4;3531.74; Rp5,099,832.56 ;EER;;;;
446;Daikin;Hi-Inverter  (Premium) R32 Series 4;Inverter;1487;20034.92;17.2;4;4342.04; Rp6,269,905.76 ;EER;;;;
447;Daikin;Hi-Inverter  (Premium) R32 Series 5;Inverter;1988.3;23787.78;16.21;4;5805.836; Rp8,383,627.18 ;EER;;;;
448;Daikin;FTC15NV14 & RC15NV14;Non-Inverter;388.2;5152;4.13;3;1067.57804; Rp1,541,582.69 ;CSPF;;;;
449;Daikin;FTC20NV14 & RC20NV14;Non-Inverter;624.9;7057.5;3.51;2;1720.749291; Rp2,484,761.98 ;CSPF;;;;
450;Daikin;FTC25NV14 & RC25NV14;Non-Inverter;817.9;9424.6;3.59;2;2246.685629; Rp3,244,214.05 ;CSPF;;;;
451;Daikin;FTC35NV14 & RC35NV14;Non-Inverter;929.2;11102.1;3.72;2;2554.088984; Rp3,688,104.49 ;CSPF;;;;
452;Daikin;FTC50NV14 & RC50NV14;Non-Inverter;1537.2;16885.5;3.42;2;4225.339874; Rp6,101,390.78 ;CSPF;;;;
453;Daikin;FTC60NV14 & RC60NV14;Non-Inverter;1928.6;22815.3;3.68;2;5305.816109; Rp7,661,598.46 ;CSPF;;;;
454;Daikin;FTKQ15UVM4 / RKQ15UVM4;Inverter;321.7;5232.1;6.59;5;679.4608692; Rp981,141.50 ;CSPF;;;;
455;Daikin;FTKQ20UVM4 / RKQ20UVM4;Inverter;579.7;7321.8;6.4;5;979.0654308; Rp1,413,770.48 ;CSPF;;;;
456;Daikin;FTKQ25UVM4 / RKQ25UVM4;Inverter;835.3;9573.9;5.5;5;1489.704146; Rp2,151,132.79 ;CSPF;;;;
457;Daikin;FTKQ35UVM4 / RKQ35UVM4;Inverter;835.3;12651.9;5.98;5;1810.624512; Rp2,614,541.80 ;CSPF;;;;
458;Daikin;FTKQ50UVM4 / RKQ50UVM4;Inverter;1607.5;17667.9;5.12;5;2953.172397; Rp4,264,380.94 ;CSPF;;;;
459;Daikin;FTKQ60UVM4 / RKQ60UVM4;Inverter;2137.4;22098.9;5.54;5;3413.773642; Rp4,929,489.14 ;CSPF;;;;
460;Daikin;Inverter R32 Smile (New Step 5);Inverter;299.6;5118;6.55;5;668.7022901; Rp965,606.11 ;CSPF;;;;
461;Daikin;Inverter R32 Smile (New Step 5);Inverter;497.3;6824;6.06;5;963.6963696; Rp1,391,577.56 ;CSPF;;;;
462;Daikin;Inverter R32 Smile (New Step 5);Inverter;662.4;8530;6.35;5;1149.606299; Rp1,660,031.50 ;CSPF;;;;
463;Daikin;Inverter R32 Smile (New Step 5);Inverter;970.2;11942;6.36;5;1606.918239; Rp2,320,389.94 ;CSPF;;;;
464;Daikin;Inverter R32 Smile (New Step 5);Inverter;1275.1;17742;6.59;5;2304.045171; Rp3,327,041.23 ;CSPF;;;;
465;Daikin;Inverter R32 Smile (New Step 5);Inverter;1703.8;20470;6.33;5;2767.502116; Rp3,996,273.06 ;CSPF;;;;
466;Daikin;Inverter R32 Smile (New Step 5);Inverter;1703.8;20470;6.33;5;2767.502116; Rp3,996,273.06 ;CSPF;;;;
467;Daikin;Inverter R32 Smile (New Step 5);Inverter;2054.8;24224;5.99;5;3460.93039; Rp4,997,583.48 ;CSPF;;;;
468;Daikin;Hi-Inverter (Premium) R32 series;Inverter;493.4;8530;7.92;5;921.7171717; Rp1,330,959.60 ;CSPF;;;;
469;Daikin;Hi-Inverter (Premium) R32 series;Inverter;1220.1;17742;6.82;5;2226.342768; Rp3,214,838.96 ;CSPF;;;;
470;Daikin;Hi-Inverter (Premium) R32 series;Inverter;1505.7;20472;6.23;5;2812.199037; Rp4,060,815.41 ;CSPF;;;;
471;Daikin;Hi-Inverter (Premium) R32 series;Inverter;2021.3;24225;5.87;5;3531.827741; Rp5,099,959.26 ;CSPF;;;;
472;Daikin;FTKF25AV14 / RKF25AV14;Inverter;810.1;8.87;5.35;5;1.418873465; Rp2,048.85 ;CSPF;;;;
473;Daikin;FTKF35AV14 / RKF35AV14;Inverter;1219.3;13193.9;5.91;5;1910.554964; Rp2,758,841.37 ;CSPF;;;;
474;Daikin;FTKF50AV14 / RKF50AV14;Inverter;1898.7;18734.2;4.97;4;3225.912568; Rp4,658,217.75 ;CSPF;;;;
475;Daikin;FTKF60AV14 / RKF60AV14;Inverter;1943;22978.9;6.22;5;3161.641907; Rp4,565,410.91 ;CSPF;;;;
476;Daikin;FTC50XV14 / RC50XV14;Non-Inverter;1595.4;17128;3.45;2;4248.75206; Rp6,135,197.97 ;CSPF;;;;
477;Daikin;FTKZ25XVM4 / RKZ25XVM4;Inverter;460.9;9072.2;8.23;5;943.37988; Rp1,362,240.55 ;CSPF;;;;
478;Daikin;FTKZ50XVM4 / RKZ50XVM4;Inverter;1368.1;18702.1;7;5;2286.473455; Rp3,301,667.67 ;CSPF;;;;
479;Daikin;FTKZ35XVM4 / RKZ35XVM4;Inverter;780.9;12728.6;7.43;5;1466.106955; Rp2,117,058.44 ;CSPF;;;;
480;Daikin;FTKZ60XVM4 / RKZ60XVM4;Inverter;1524.8;21789.3;7.07;5;2637.531733; Rp3,808,595.82 ;CSPF;;;;
481;Daikin;FTKZ71XVM4 / RKZ71XVM4;Inverter;2171.2;25474;6.41;5;3401.04943; Rp4,911,115.38 ;CSPF;;;;
482;Daikin;FTKE15YV14 / RKE15YV14;Inverter;363.6;5000;5.64;5;758.6906454; Rp1,095,549.29 ;CSPF;;;;
483;Daikin;FTKE20YV14 / RKE20YV14;Inverter;655.5;7000;4.9;4;1222.575783; Rp1,765,399.43 ;CSPF;;;;
484;Daikin;FTKE25YV14 / RKE25YV14;Inverter;954.9;9000;4.66;4;1652.838505; Rp2,386,698.80 ;CSPF;;;;
485;Daikin;FTKE35YV14 / RKE35YV14;Inverter;1270.5;12300;4.77;4;2206.787734; Rp3,186,601.49 ;CSPF;;;;
486;Daikin;FTC15YV14/ RC15YV14;Non-Inverter;412.7;5000;3.9;3;1097.183395; Rp1,584,332.82 ;CSPF;;;;
487;Daikin;FTC25YV14/ RC25YV14;Non-Inverter;732.4;9000;3.68;2;2092.996585; Rp3,022,287.07 ;CSPF;;;;
488;Daikin;FTC35YV14/ RC35YV14;Non-Inverter;1067.2;12000;3.66;2;2805.911633; Rp4,051,736.40 ;CSPF;;;;
489;Daikin;FTC50YV14/ RC50YV14;Non-Inverter;1563.4;17100;3.48;2;4205.239115; Rp6,072,365.28 ;CSPF;;;;
490;Daikin;FTKE50YV14/RKE50YV14;Inverter;1648.3;19827.27;5.49;5;3090.753752; Rp4,463,048.42 ;CSPF;;;;
491;Daikin;FTKH20YV14/RKH20YV14;Inverter;466;8472.69;8.18;5;886.4246855; Rp1,279,997.25 ;CSPF;;;;
492;Daikin;FTKH25YV14/RKH25YV14;Inverter;798.7;11216.39;7.17;5;1338.775558; Rp1,933,191.91 ;CSPF;;;;
493;Daikin;FTKH35YV14/RKH35YV14;Inverter;1105.9;13748.88;5.91;5;1990.919359; Rp2,874,887.55 ;CSPF;;;;
494;Daikin;FTKH50YV14/RKH50YV14;Inverter;1817.3;20267.1;5.9;5;2939.770501; Rp4,245,028.60 ;CSPF;;;;
495;Daikin;FTKH60YV14/RKH60YV14;Inverter;2164.4;25362.11;6.38;5;3402.033079; Rp4,912,535.77 ;CSPF;;;;
496;Daikin;"FTKH15YV14 (Indoor) ; RKH15YV14 (Outdoor)";Inverter;5299.16;5100;6.49;5;672.5108698; Rp971,105.70 ;CSPF;;;;
497;Daikin;Hi-Inverter (Premium) R32 series;Inverter;816;11942;6.95;5;1470.503597; Rp2,123,407.19 ;CSPF;;;;
498;DAST ;DAS05LWA;Non-Inverter;344;1860.92;18.46;4;1004.48; Rp1,450,469.12 ;EER;;;;
499;DAST ;DAS05FA;Non-Inverter;477;2021.92;14.4;4;1392.84; Rp2,011,260.96 ;EER;;;;
500;DAST ;DAS09LWA;Non-Inverter;710;2849.88;13.72;4;2073.2; Rp2,993,700.80 ;EER;;;;
501;DAST ;DAS09FA;Non-Inverter;832;3200.87;13.14;4;2429.44; Rp3,508,111.36 ;EER;;;;
502;DAST ;DAS12FA;Non-Inverter;1726.3;5191.98;14.18;4;5040.796; Rp7,278,909.42 ;EER;;;;
503;DAST ;DAS18FA;Non-Inverter;2181.2;5974.25;14.03;4;364.4177733; Rp526,219.26 ;CSPF;;;;
504;Denpoo;DDS-05 CNI;Non-Inverter;398.9;4601.95;11.54;4;1164.788; Rp1,681,953.87 ;EER;;;;
505;Denpoo;DDS-05 CI;Non-Inverter;392.95;4418.58;11.25;4;1147.414; Rp1,656,865.82 ;EER;;;;
506;Denpoo;DDS-09 CNI;Non-Inverter;860.8;9102.57;10.57;4;2513.536; Rp3,629,545.98 ;EER;;;;
507;Denpoo;DDS-12 CNI;Non-Inverter;1060.9;11210.59;10.57;4;3097.828; Rp4,473,263.63 ;EER;;;;
508;Denpoo;DDS-18 CNI;Non-Inverter;1714.98;17964.06;10.47;4;5007.7416; Rp7,231,178.87 ;EER;;;;
509;Denpoo;DDS-199 CI;Non-Inverter;688.25;7307.88;10.62;4;2009.69; Rp2,901,992.36 ;EER;;;;
510;Denpoo;DDS-05 CNI;Non-Inverter;394.2;4494.58;11.35;4;1151.064; Rp1,662,136.42 ;EER;;;;
511;Denpoo;DDS-09 CNI;Non-Inverter;888;8680;9.76;2;2592.96; Rp3,744,234.24 ;EER;;;;
512;Denpoo;DDS-155 CI;Non-Inverter;388.2;4264.73;10.94;4;1133.544; Rp1,636,837.54 ;EER;;;;
513;Denpoo;DDS-199 CI;Non-Inverter;708.4;6754.16;9.51;2;2068.528; Rp2,986,954.43 ;EER;;;;
514;Denpoo;DDS - 05 CTL ;Non-Inverter;441.4;4789.34;10.81;4;1288.888; Rp1,861,154.27 ;EER;;;;
515;Denpoo;DDS - 09 CTL ;Non-Inverter;783.4;7582.8;9.66;2;2287.528; Rp3,303,190.43 ;EER;;;;
516;Denpoo;1/2 PK;Non-Inverter;430.6;5226.89;12.09;4;1257.352; Rp1,815,616.29 ;EER;;;;
517;Denpoo;1 PK;Non-Inverter;798.3;8518.86;10.65;4;2331.036; Rp3,366,015.98 ;EER;;;;
518;Denpoo;DENPOO DDS 05SHB;Non-Inverter;429.2;5239.44;12.15;4;1253.264; Rp1,809,713.22 ;EER;;;;
519;Denpoo;DENPOO DDS 09SHB;Non-Inverter;803.7;8546.66;10.61;4;2346.804; Rp3,388,784.98 ;EER;;;;
520;Denpoo;DDS 05CTL 32;Non-Inverter;436.3;5000;3.65;2;1172.332943; Rp1,692,848.77 ;CSPF;;;;
521;Denpoo;DDS 09CTL 32;Non-Inverter;779.9;9000;3.41;2;2258.717722; Rp3,261,588.39 ;CSPF;;;;
522;Denpoo;"DDS 18CTL 32 (Indoor) ; DDS 18CTL 32 (Outdoor)";Non-Inverter;1478.2;18000;3.82;3;4032.579808; Rp5,823,045.24 ;CSPF;;;;
523;DR KUHLER;GWC12NASN/I / GWC12NASN/O;Non-Inverter;1061.6;11502.9;3.37;1;2921.132606; Rp4,218,115.48 ;CSPF;;;;
524;DR KUHLER;GWC18NASN/I / GWC18NASN/O;Non-Inverter;1691.4;17650.8;3.25;1;4647.87952; Rp6,711,538.03 ;CSPF;;;;
525;DR KUHLER;GWC12NAS2/I / GWC12NAS2/O;Non-Inverter;1031.6;11899.9;3.59;2;2836.760638; Rp4,096,282.36 ;CSPF;;;;
526;DR KUHLER;GWC18NAS2/I / GWC18NAS2/O;Non-Inverter;1638.1;18048.6;3.43;2;4503.220669; Rp6,502,650.65 ;CSPF;;;;
527;DR KUHLER;GWC18NAS3/I / GWC18NAS3/O;Non-Inverter;1650.2;18092.54;3.41;2;4540.660082; Rp6,556,713.16 ;CSPF;;;;
528;DR KUHLER;GWC18NASN3/I / GWC18NASN3/O;Non-Inverter;1651.9;18196.61;3.43;2;4540.149942; Rp6,555,976.52 ;CSPF;;;;
529;DR KUHLER;GWC12NAS ;Non-Inverter;1070;11003.96;10.82;4;3124.4; Rp4,511,633.60 ;EER;;;;
530;DR KUHLER;GWC18NAS;Non-Inverter;1832;17573.94;10.55;4;5349.44; Rp7,724,591.36 ;EER;;;;
531;DR KUHLER;"GWC12NAS/I;GWC12NAS/O";Non-Inverter;1060.8;11696.8;11.02;4;3097.536; Rp4,472,841.98 ;EER;;;;
532;DR KUHLER;"GWC18NAS/I;GWC18NAS/O";Non-Inverter;1691;17721.5;10.48;4;4937.72; Rp7,130,067.68 ;EER;;;;
533;Elba;EA 60 A;Non-Inverter;398.06;4460.81;11.2;4;1162.3352; Rp1,678,412.03 ;EER;;;;
534;Elba;EA 80 A;Non-Inverter;886.9;7654.85;8.63;1;2589.748; Rp3,739,596.11 ;EER;;;;
535;Elba;EA 90 A;Non-Inverter;886.9;8308.15;9.36;2;2589.748; Rp3,739,596.11 ;EER;;;;
