No;Merek;Famili;Tipe;Daya (watt);Kapasitas Pendinginan (BTU/h);Nilai Efisiensi (EER/CSPF);Rating Bintang (1-5);Konsumsi Energi Tahunan (kWh);Biaya Listrik Tahunan (Rp);Baseline;;;;
42;ALUFT;GTS09IW1 / GTS09IW1;Inverter;661.9;9013.38;5.27;5;1463.69603; Rp2,113,577.07 ;CSPF;;;;
43;Aqua;AQA-KC105AGC6;Non-Inverter;343.3;4189.54;12.2;4;1002.436; Rp1,447,517.58 ;EER;;;;
44;Aqua;AQA-KC105AG6;Non-Inverter;575.9;5341.94;9.28;2;1681.628; Rp2,428,270.83 ;EER;;;;
45;Aqua;AQA-KC109AG6;Non-Inverter;977.5;8753.75;10.13;3;2854.3; Rp4,121,609.20 ;EER;;;;
46;Aqua;AQA-KC112AG6;Non-Inverter;1063.1;10862.29;10.21;3;3104.252; Rp4,482,539.89 ;EER;;;;
47;Aqua;AQA-KC118AG6;Non-Inverter;1715.7;16841.14;9.81;2;5009.844; Rp7,234,214.74 ;EER;;;;
48;Aqua;AQA-KC105AGE6;Non-Inverter;358;4056.39;11.33;4;1045.36; Rp1,509,499.84 ;EER;;;;
49;Aqua;AQA-KC205AGE3;Non-Inverter;358;4056.39;11.33;4;1045.36; Rp1,509,499.84 ;EER;;;;
50;Aqua;AQA-KC205AGC3;Non-Inverter;333.77;4392.17;13.16;4;974.6084; Rp1,407,334.53 ;EER;;;;
51;Aqua;AQA-KC205AG3;Non-Inverter;574.3;5264.42;9.18;2;1676.956; Rp2,421,524.46 ;EER;;;;
52;Aqua;AQA-KC209AG3;Non-Inverter;855.5;8818.26;10.3;3;2498.06; Rp3,607,198.64 ;EER;;;;
53;Aqua;AQA-KCRV9BGS;Inverter;1287.3;11053.53;12.2;4;3758.916; Rp5,427,874.70 ;EER;;;;
54;Aqua;AQA-KCRV12BGS;Inverter;1104.4;11426.14;13.16;4;3224.848; Rp4,656,680.51 ;EER;;;;
55;Aqua;AQA-KCRV18BGS;Inverter;1837.9;18220.5;12.42;4;5366.668; Rp7,749,468.59 ;EER;;;;
56;Aqua;AQA-KRV9WJ / AQA-CRV9WJ, AQA-KRV9WJW / AQA-CRV9WJW, ;Inverter;775;10178;13.13;4;2263; Rp3,267,772.00 ;EER;;;;
57;Aqua;AQA-KRV12WJ / AQA-CRV12WJ, AQA-KRV12WJW / AQA-CRV12WJW, ;Inverter;1187;13422.81;11.29;4;3466.04; Rp5,004,961.76 ;EER;;;;
58;Aqua;AQA-KRV18WJ / AQA-CRV18WJ, AQA-KRV18WJW / AQA-CRV18WJW, ;Inverter;1404;15268.7;10.88;4;4099.68; Rp5,919,937.92 ;EER;;;;
59;Aqua;"AQA-KCR5ANE(AQA-KR5ANE; AQA-CR5ANE)";Non-Inverter;361;6257.61;17.33;4;1054.12; Rp1,522,149.28 ;EER;;;;
60;Aqua;"AQA-KCR9ANS(AQA-KR9ANS; AQA-CR9ANS)";Non-Inverter;892;8949.68;10.03;3;2604.64; Rp3,761,100.16 ;EER;;;;
61;Aqua;"AQA-KCR5ANC(AQA-KR5ANC; AQA-CR5ANC)";Non-Inverter;358;5527.44;15.44;4;1045.36; Rp1,509,499.84 ;EER;;;;
62;Aqua;"AQA-KCR9ANC(AQA-KR9ANC; AQA-CR9ANC)";Non-Inverter;709;7922.66;11.17;4;2070.28; Rp2,989,484.32 ;EER;;;;
63;Aqua;"AQA-KCR5ANS(AQA-KR5ANS;AQA-CR5ANS)";Non-Inverter;540;7083.31;13.12;4;1576.8; Rp2,276,899.20 ;EER;;;;
64;Aqua;"AQA-KCR7ANS(AQA-KR7ANS;AQA-CR7ANS)";Non-Inverter;892;9017.92;12.98;4;2604.64; Rp3,761,100.16 ;EER;;;;
65;Aqua;"AQA-KCR12ANS(AQA-KR12ANS;AQA-CR12ANS)";Non-Inverter;1177;11791.87;10.02;3;3436.84; Rp4,962,796.96 ;EER;;;;
66;Aqua;"AQA-KCR18ANS(AQA-KR18ANS;AQA-CR18ANS)";Non-Inverter;1662;17189.66;10.34;3;4853.04; Rp7,007,789.76 ;EER;;;;
67;Aqua;"AQA-KR5ANC1;AQA-CR5ANC1";Non-Inverter;384.5;4236.49;10.98;4;1122.74; Rp1,621,236.56 ;EER;;;;
68;Aqua;"AQA-KR5ANE2;AQA-CR5ANE2";Non-Inverter;351.2;4054.08;11.49;4;1025.504; Rp1,480,827.78 ;EER;;;;
69;Aqua;"AQA-KR9ANS2;AQA-CR9ANS2";Non-Inverter;871.3;8440.69;9.67;2;2544.196; Rp3,673,819.02 ;EER;;;;
70;Aqua;AQA-KRV9WGW, AQA-CRV9WGW;Inverter;759.2;9885.09;14.94;4;2216.864; Rp3,201,151.62 ;EER;;;;
71;Aqua;AQA-KRV9WG, AQA-CRV9WG;Inverter;759.2;9885.09;14.94;4;2216.864; Rp3,201,151.62 ;EER;;;;
72;Aqua;AQA-KRV18WG, AQA-CRV18WG;Inverter;1755.5;18466.98;12.22;4;5126.06; Rp7,402,030.64 ;EER;;;;
73;Aqua;AQA-KCRV12WG (AQA-KRV12WG,  AQA-KRV12WG);Inverter;1182.3;12335.9;12.26;4;3452.316; Rp4,985,144.30 ;EER;;;;
74;Aqua;"AQA-KCR5ANR(AQA-KR5ANR; AQA-CR5ANR)(AQA-KR5ANR1; AQA-CR5ANR1)(AQA-KR5ANR2; AQA-CR5ANR2)";Non-Inverter;411.5;5095.88;12.33;4;1201.58; Rp1,735,081.52 ;EER;;;;
75;Aqua;"AQA-KCR9ANR(AQA-KR9ANR; AQA-CR9ANR)(AQA-KR9ANR1; AQA-CR9ANR1)(AQA-KR9ANR2; AQA-CR9ANR2)";Non-Inverter;786.6;8890.92;11.28;4;2296.872; Rp3,316,683.17 ;EER;;;;
76;Aqua;AQA-KCR5AHR;Non-Inverter;424.5;4845.2;11.41;4;1239.54; Rp1,789,895.76 ;EER;;;;
77;Aqua;AQA-KCR5ANE;Non-Inverter;361;6257.61;17.33;4;1054.12; Rp1,522,149.28 ;EER;;;;
78;Aqua;AQA-KCR9ANS;Non-Inverter;892;8949.68;10.03;4;2604.64; Rp3,761,100.16 ;EER;;;;
79;Aqua;AQA-KCR5ANC;Non-Inverter;358;5527.44;15.44;4;1045.36; Rp1,509,499.84 ;EER;;;;
80;Aqua;AQA-KCR9ANC;Non-Inverter;709;7922.66;11.17;4;2070.28; Rp2,989,484.32 ;EER;;;;
81;Aqua;AQA-KCR5ANS;Non-Inverter;540;7083.31;13.12;4;1576.8; Rp2,276,899.20 ;EER;;;;
82;Aqua;AQA-KCR7ANS;Non-Inverter;892;9017.92;12.98;4;2604.64; Rp3,761,100.16 ;EER;;;;
83;Aqua;AQA-KCR12ANS;Non-Inverter;1177;11791.87;10.02;4;3436.84; Rp4,962,796.96 ;EER;;;;
84;Aqua;AQA-KCR18ANS;Non-Inverter;1662;17189.66;10.34;4;4853.04; Rp7,007,789.76 ;EER;;;;
85;Aqua;AQA-KCRV6WP,  AQA-KCRV6WPW ;Inverter;424.8;5646.79;13.06;4;1240.416; Rp1,791,160.70 ;EER;;;;
86;Aqua;AQA-KCRV10WP,  AQA-KCRV10WPW;Inverter;735.7;9547.48;14.21;4;2148.244; Rp3,102,064.34 ;EER;;;;
87;Aqua;AQA-KCRV13WP;Inverter;1138.8;12427.2;13.28;4;3325.296; Rp4,801,727.42 ;EER;;;;
88;Aqua;9ANP;Non-Inverter;781.5;8762.42;3.49;2;2148.683594; Rp3,102,699.11 ;CSPF;;;;
89;Aqua;5ANP;Non-Inverter;399.3;4692.9;3.66;2;1097.321892; Rp1,584,532.81 ;CSPF;;;;
